Structure,1000,5000,10000,20000
NaiveList,0.055,0.166,0.177,0.188
TreeSet,0.355,1.550,1.399,0.681
HashSet,0.045,0.187,0.159,0.132
Trie,0.316,1.649,0.810,0.448
